Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,GlsPer90,AstPer90,G+APer90,G-PKPer90,G+A-PK,xG,npxG,xA,npxG+xA,xGPer90,xAPer90,xG+xAPer90,npxGPer90,npxG+xAPer90,Matches
549,Kacper Przybyłko\Kacper-Przybylko,pl POL,FW,Philadelphia,28-214,1993,31,26,2402,26.7,11,3,9,2,2,2,0,0.41,0.11,0.52,0.34,0.45,9.2,7.7,2.5,10.2,0.34,0.09,0.44,0.29,0.38,Matches
550,Alan Pulido\Alan-Pulido,mx MEX,FW,Sporting KC,30-231,1991,21,15,1449,16.1,8,2,6,2,2,1,0,0.50,0.12,0.62,0.37,0.50,7.9,6.4,2.5,8.9,0.49,0.15,0.65,0.40,0.55,Matches
551,John Pulskamp\John-Pulskamp,us USA,GK,Sporting KC,20-189,2001,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
552,Roberto Punčec\Roberto-Puncec,hr CRO,DF,Sporting KC,29-363,1991,3,2,130,1.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches
553,Andrew Putna\Andrew-Putna,us USA,GK,Real Salt Lake,27-004,1994,3,2,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
554,Álvaro Quezada\Alvaro-Quezada,us USA,DF,Los Angeles FC,22-235,1999,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.06,0.06,0.00,0.06,Matches
555,Facundo Quignon\Facundo-Quignon,ar ARG,MF,FC Dallas,28-176,1993,18,16,1335,14.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.6,1.9,0.09,0.04,0.13,0.09,0.13,Matches
556,Darwin Quintero\Darwin-Quintero,co COL,MFFW,Houston Dynamo,34-036,1987,19,9,1001,11.1,3,2,2,1,1,2,0,0.27,0.18,0.45,0.18,0.36,4.0,3.3,3.4,6.6,0.36,0.30,0.67,0.30,0.60,Matches
557,Romell Quioto\Romell-Quioto,hn HON,FW,CF Montréal,30-077,1991,17,14,1161,12.9,8,5,7,1,1,2,0,0.62,0.39,1.01,0.54,0.93,9.4,8.7,2.8,11.5,0.73,0.22,0.95,0.67,0.89,Matches
558,Kaveh Rad\Kaveh-Rad,us USA,DF,Sporting KC,20-134,2001,5,2,246,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.08,0.08,0.00,0.08,Matches
559,Jukka Raitala\Jukka-Raitala,fi FIN,DF,Minnesota Utd,33-040,1988,9,6,544,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
560,Christian Ramirez\Christian-Ramirez,us USA,FW,Houston Dynamo,30-204,1991,6,1,91,1.0,1,0,1,0,0,0,0,0.99,0.00,0.99,0.99,0.99,0.2,0.2,0.0,0.2,0.15,0.02,0.17,0.15,0.17,Matches
561,Ryan Raposo\Ryan-Raposo,ca CAN,MFFW,Vancouver,22-234,1999,21,3,381,4.2,0,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,1.0,1.0,0.8,1.8,0.23,0.20,0.43,0.23,0.43,Matches
562,Rayan Raveloson\Rayan-Raveloson,mg MAD,MFDF,LA Galaxy,24-282,1997,19,19,1658,18.4,5,0,5,0,0,2,0,0.27,0.00,0.27,0.27,0.27,1.7,1.7,0.5,2.2,0.09,0.03,0.12,0.09,0.12,Matches
563,Matthew Real\Matthew-Real,us USA,DFMF,Philadelphia,22-107,1999,8,1,151,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
564,Rodney Redes\Rodney-Redes,py PAR,FWMF,Austin FC,21-245,2000,25,5,721,8.0,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,1.8,1.8,0.5,2.3,0.23,0.06,0.29,0.23,0.29,Matches
565,Eric Remedi\Eric-Remedi,ar ARG,MF,San Jose,26-143,1995,26,24,2180,24.2,0,0,0,0,0,12,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.1,1.5,0.01,0.05,0.06,0.01,0.06,Matches
