Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,GlsPer90,AstPer90,G+APer90,G-PKPer90,G+A-PK,xG,npxG,xA,npxG+xA,xGPer90,xAPer90,xG+xAPer90,npxGPer90,npxG+xAPer90,Matches
1,Paxten Aaronson\Paxten-Aaronson,us USA,MFFW,Philadelphia,18-060,2003,12,4,483,5.4,2,0,2,0,0,1,0,0.37,0.00,0.37,0.37,0.37,1.1,1.1,1.0,2.0,0.20,0.18,0.38,0.20,0.38,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,Columbus Crew,30-047,1991,18,7,929,10.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.1,1.2,0.01,0.11,0.11,0.01,0.11,Matches
3,Luciano Abecasis\Luciano-Abecasis,ar ARG,DF,San Jose,31-143,1990,23,14,1232,13.7,0,2,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,0.5,0.5,1.6,2.1,0.04,0.12,0.16,0.04,0.16,Matches
4,Ramón Ábila\Ramon-Abila,ar ARG,FW,D.C. United,32-011,1989,9,0,183,2.0,3,0,3,0,0,0,0,1.48,0.00,1.48,1.48,1.48,1.0,1.0,0.0,1.0,0.48,0.00,0.48,0.48,0.48,Matches
5,Ramón Ábila\Ramon-Abila,ar ARG,FW,Minnesota Utd,32-011,1989,10,1,268,3.0,2,0,2,0,1,1,1,0.67,0.00,0.67,0.67,0.67,2.7,1.8,0.8,2.6,0.91,0.27,1.17,0.60,0.86,Matches
6,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado Rapids,26-304,1994,21,20,1681,18.7,2,0,2,0,0,5,0,0.11,0.00,0.11,0.11,0.11,0.7,0.7,0.0,0.7,0.04,0.00,0.04,0.04,0.04,Matches
7,Nicolás Acevedo\Nicolas-Acevedo,uy URU,MF,NYCFC,22-194,1999,24,15,1351,15.0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.9,1.4,0.03,0.06,0.09,0.03,0.09,Matches
8,Ifunanyachi Achara\Ifunanyachi-Achara,us USA,FWMF,Toronto FC,24-027,1997,13,9,750,8.3,2,1,2,0,0,2,0,0.24,0.12,0.36,0.24,0.36,3.1,3.1,1.0,4.1,0.37,0.12,0.49,0.37,0.49,Matches
9,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,27-335,1993,23,16,1575,17.5,0,1,0,0,0,7,1,0.00,0.06,0.06,0.00,0.06,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,Matches
10,Danilo Acosta\Danilo-Acosta,hn HON,DF,LA Galaxy,23-352,1997,2,0,63,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
11,Kellyn Acosta\Kellyn-Acosta,us USA,MFDF,Colorado Rapids,26-093,1995,20,18,1628,18.1,1,1,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,0.9,0.9,0.7,1.6,0.05,0.04,0.09,0.05,0.09,Matches
12,Luciano Acosta\Luciano-Acosta,ar ARG,MF,FC Cincinnati,27-147,1994,29,28,2514,27.9,7,7,7,0,0,5,0,0.25,0.25,0.50,0.25,0.50,5.6,5.6,7.0,12.6,0.20,0.25,0.45,0.20,0.45,Matches
13,Mo Adams\Mo-Adams,eng ENG,MF,Atlanta Utd,25-032,1996,6,2,148,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
14,Samuel Adeniran\Samuel-Adeniran,us USA,FWMF,Seattle,23-025,1998,2,1,59,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.28,0.00,0.28,0.28,0.28,Matches
15,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Minnesota Utd,31-015,1990,8,1,190,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.17,0.04,0.20,0.17,0.20,Matches
16,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus Crew,35-093,1986,23,20,1722,19.1,0,2,0,0,0,5,1,0.00,0.10,0.10,0.00,0.10,0.5,0.5,0.8,1.3,0.02,0.04,0.07,0.02,0.07,Matches
17,Juan Agudelo\Juan-Agudelo,us USA,FWMF,Minnesota Utd,28-336,1992,13,1,245,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.0,1.6,0.58,0.01,0.59,0.58,0.59,Matches
18,Raul Aguilera Jr.\Raul-Aguilera-Jr,us USA,MF,Orlando City,22-084,1999,3,0,95,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
19,Daniel Aguirre\Daniel-Aguirre,us USA,MFFW,LA Galaxy,22-115,1999,5,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.62,0.00,0.62,0.62,0.62,Matches
20,Matheus Aiás\Matheus-Aias,br BRA,FWMF,Orlando City,24-298,1996,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
21,Arnaud Ake\Arnaud-Ake,ci CIV,FW,Nashville,23-207,1998,16,2,311,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.6,0.01,0.15,0.16,0.01,0.16,Matches
22,Tesho Akindele\Tesho-Akindele,ca CAN,FW,Orlando City,29-208,1992,30,15,1319,14.7,3,5,3,0,1,1,0,0.20,0.34,0.55,0.20,0.55,6.1,5.3,1.9,7.2,0.41,0.13,0.54,0.36,0.49,Matches
23,Ayo Akinola\Ayo-Akinola,ca CAN,FW,Toronto FC,21-278,2000,11,8,645,7.2,3,0,3,0,0,0,0,0.42,0.00,0.42,0.42,0.42,2.2,2.2,0.4,2.6,0.31,0.06,0.36,0.31,0.36,Matches
24,Oswaldo Alanís\Oswaldo-Alanis,mx MEX,DF,San Jose,32-221,1989,24,23,1952,21.7,2,0,0,2,2,2,0,0.09,0.00,0.09,0.00,0.00,2.0,0.5,0.2,0.7,0.09,0.01,0.10,0.02,0.03,Matches
25,Caio Alexandre\Caio-Alexandre,br BRA,MF,Vancouver,22-243,1999,15,11,956,10.6,0,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.9,0.9,0.7,1.6,0.09,0.06,0.15,0.09,0.15,Matches
26,Tony Alfaro\Tony-Alfaro,us USA,DF,D.C. United,28-132,1993,24,20,1801,20.0,1,1,1,0,0,7,0,0.05,0.05,0.10,0.05,0.10,1.4,1.4,0.0,1.4,0.07,0.00,0.07,0.07,0.07,Matches
27,Ignacio Aliseda\Ignacio-Aliseda,ar ARG,FWMF,Chicago Fire,21-225,2000,21,14,1414,15.7,4,1,4,0,0,0,0,0.25,0.06,0.32,0.25,0.32,3.8,3.8,2.0,5.8,0.24,0.13,0.37,0.24,0.37,Matches
28,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Minnesota Utd,35-348,1985,22,13,1255,13.9,1,0,1,0,0,7,0,0.07,0.00,0.07,0.07,0.07,0.5,0.5,0.6,1.1,0.03,0.04,0.08,0.03,0.08,Matches
29,Jozy Altidore\Jozy-Altidore,us USA,FW,Toronto FC,31-353,1989,13,5,588,6.5,3,0,3,0,0,1,0,0.46,0.00,0.46,0.46,0.46,2.2,2.1,0.1,2.3,0.33,0.02,0.35,0.33,0.35,Matches
30,Alexander Alvarado\Alexander-Alvarado,ec ECU,FWMF,Orlando City,22-187,1999,10,2,197,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.03,0.05,0.02,0.05,Matches
31,Ventura Alvarado\Ventura-Alvarado,us USA,DF,Inter Miami,29-070,1992,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Efrain Alvarez\Efrain-Alvarez,mx MEX,FWMF,LA Galaxy,19-128,2002,23,15,1179,13.1,2,2,2,0,0,1,0,0.15,0.15,0.31,0.15,0.31,2.7,2.7,3.1,5.8,0.20,0.24,0.44,0.20,0.44,Matches
33,Frankie Amaya\Frankie-Amaya,us USA,MF,NY Red Bulls,21-029,2000,21,10,832,9.2,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,0.5,0.5,1.1,1.6,0.05,0.12,0.17,0.05,0.17,Matches
34,Mikey Ambrose\Mikey-Ambrose,us USA,DFMF,Atlanta Utd,28-020,1993,4,1,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
35,Malte Amundsen\Malte-Amundsen,dk DEN,DF,NYCFC,23-256,1998,29,11,1124,12.5,1,3,1,0,0,2,0,0.08,0.24,0.32,0.08,0.32,0.5,0.5,2.5,3.0,0.04,0.20,0.24,0.04,0.24,Matches
36,Sebastian Anderson\Sebastian-Anderson,us USA,DF,Colorado Rapids,19-078,2002,1,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
37,José Andrés Martínez\Jose-Andres-Martinez,ve VEN,MF,Philadelphia,27-079,1994,21,20,1683,18.7,0,2,0,0,0,7,1,0.00,0.11,0.11,0.00,0.11,0.3,0.3,0.5,0.8,0.02,0.03,0.04,0.02,0.04,Matches
38,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Nashville,33-006,1988,9,7,635,7.1,1,0,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches
39,Brian Anunga\Brian-Anunga,cm CMR,MF,Nashville,25-076,1996,23,16,1418,15.8,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.7,1.4,0.05,0.04,0.09,0.05,0.09,Matches
40,Cristian Arango\Cristian-Arango,co COL,FW,Los Angeles FC,26-230,1995,14,12,1135,12.6,12,1,7,5,5,3,0,0.95,0.08,1.03,0.56,0.63,10.1,6.3,3.1,9.4,0.80,0.25,1.05,0.50,0.75,Matches
41,Julian Araujo\Julian-Araujo,us USA,DF,LA Galaxy,20-073,2001,29,29,2523,28.0,0,5,0,0,0,7,0,0.00,0.18,0.18,0.00,0.18,0.5,0.5,3.3,3.9,0.02,0.12,0.14,0.02,0.14,Matches
42,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Atlanta Utd,25-145,1996,11,9,813,9.0,2,2,2,0,0,1,0,0.22,0.22,0.44,0.22,0.44,2.3,2.3,1.8,4.2,0.26,0.20,0.46,0.26,0.46,Matches
43,Daniel Armando Ríos\Daniel-Armando-Rios,mx MEX,FW,Nashville,26-245,1995,12,5,373,4.1,1,1,1,0,0,0,0,0.24,0.24,0.48,0.24,0.48,1.5,1.5,0.5,1.9,0.35,0.11,0.47,0.35,0.47,Matches
44,Xavier Arreaga\Xavier-Arreaga,ec ECU,DF,Seattle,27-027,1994,23,22,1892,21.0,2,0,2,0,0,6,0,0.10,0.00,0.10,0.10,0.10,1.4,1.4,0.0,1.4,0.07,0.00,0.07,0.07,0.07,Matches
45,Paul Arriola\Paul-Arriola,us USA,FWMF,D.C. United,26-262,1995,17,16,1184,13.2,5,2,5,0,0,2,0,0.38,0.15,0.53,0.38,0.53,4.9,4.9,3.0,7.9,0.37,0.23,0.60,0.37,0.60,Matches
46,Artur\Artur,br BRA,MF,Columbus Crew,25-228,1996,6,5,431,4.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.09,0.00,0.09,0.09,0.09,Matches
47,Yamil Asad\Yamil-Asad,ar ARG,MFFW,D.C. United,27-090,1994,16,8,650,7.2,2,1,1,1,1,3,0,0.28,0.14,0.42,0.14,0.28,1.8,1.0,1.3,2.3,0.25,0.18,0.43,0.14,0.32,Matches
48,Dairon Asprilla\Dairon-Asprilla,co COL,FWMF,Portland Timbers,29-153,1992,31,23,1891,21.0,9,3,8,1,1,4,0,0.43,0.14,0.57,0.38,0.52,6.0,5.2,2.5,7.8,0.29,0.12,0.41,0.25,0.37,Matches
49,Isaac Atanga\Isaac-Atanga,gh GHA,FWMF,FC Cincinnati,21-088,2000,20,12,1003,11.1,1,2,1,0,0,0,1,0.09,0.18,0.27,0.09,0.27,2.5,2.5,1.4,3.9,0.22,0.12,0.35,0.22,0.35,Matches
50,Joshua Atencio\Joshua-Atencio,us USA,MF,Seattle,19-267,2002,22,16,1403,15.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
51,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland Timbers,33-026,1988,3,2,170,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
52,Eduard Atuesta\Eduard-Atuesta,co COL,MF,Los Angeles FC,24-129,1997,24,24,2128,23.6,2,7,1,1,1,3,0,0.08,0.30,0.38,0.04,0.34,2.5,1.8,3.9,5.7,0.11,0.17,0.27,0.08,0.24,Matches
53,Auro\Auro,br BRA,DFMF,Toronto FC,25-275,1996,24,22,1901,21.1,0,3,0,0,0,2,1,0.00,0.14,0.14,0.00,0.14,0.6,0.6,2.6,3.2,0.03,0.12,0.15,0.03,0.15,Matches
54,Brandon Austin\Brandon-Austin,eng ENG,GK,Orlando City,22-290,1999,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
55,Edison Azcona\Edison-Azcona,do DOM,FW,Inter Miami,17-338,2003,4,0,50,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
56,Dominique Badji\Dominique-Badji,sn SEN,FW,Nashville,29-009,1992,5,2,188,2.1,0,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,1.1,1.1,0.0,1.1,0.52,0.00,0.52,0.52,0.52,Matches
57,Dominique Badji\Dominique-Badji,sn SEN,FWMF,Colorado Rapids,29-009,1992,9,2,232,2.6,3,0,3,0,0,0,0,1.16,0.00,1.16,1.16,1.16,1.2,1.2,0.0,1.2,0.46,0.02,0.48,0.46,0.48,Matches
58,Zico Bailey\Zico-Bailey,us USA,DF,FC Cincinnati,21-059,2000,8,6,446,5.0,0,1,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,0.2,0.2,0.8,1.0,0.03,0.16,0.20,0.03,0.20,Matches
59,Theo Bair\Theo-Bair,ca CAN,FW,Vancouver,22-059,1999,4,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
60,Corey Baird\Corey-Baird,us USA,FW,Houston Dynamo,25-268,1996,7,4,362,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.1,0.23,0.03,0.27,0.23,0.27,Matches
61,Corey Baird\Corey-Baird,us USA,FW,Los Angeles FC,25-268,1996,13,9,750,8.3,3,2,3,0,0,2,0,0.36,0.24,0.60,0.36,0.60,2.9,2.9,0.9,3.7,0.34,0.10,0.45,0.34,0.45,Matches
62,Mateo Bajamich\Mateo-Bajamich,ar ARG,FWMF,Houston Dynamo,22-083,1999,9,1,139,1.5,0,1,0,0,0,0,0,0.00,0.65,0.65,0.00,0.65,0.2,0.2,0.6,0.8,0.12,0.41,0.52,0.12,0.52,Matches
63,Reed Baker-Whiting\Reed-Baker-Whiting,us USA,MFFW,Seattle,16-208,2005,4,2,201,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.35,0.07,0.42,0.35,0.42,Matches
64,Michael Baldisimo\Michael-Baldisimo,ca CAN,MF,Vancouver,21-195,2000,21,12,1255,13.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.00,0.01,0.01,0.01,Matches
65,Grayson Barber\Grayson-Barber,us USA,FWMF,Sporting KC,21-175,2000,5,1,112,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.17,0.06,0.23,0.17,0.23,Matches
66,Ezequiel Barco\Ezequiel-Barco,ar ARG,FWMF,Atlanta Utd,22-210,1999,21,19,1778,19.8,7,5,6,1,1,3,1,0.35,0.25,0.61,0.30,0.56,4.4,3.7,3.2,6.9,0.22,0.16,0.39,0.19,0.35,Matches
67,Tom Barlow\Tom-Barlow,us USA,FWMF,NY Red Bulls,26-109,1995,21,2,477,5.3,1,0,1,0,0,2,0,0.19,0.00,0.19,0.19,0.19,1.7,1.7,0.4,2.1,0.32,0.08,0.40,0.32,0.40,Matches
68,Luis Barraza\Luis-Barraza,us USA,GK,NYCFC,24-351,1996,5,5,450,5.0,0,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,0.0,0.0,0.8,0.8,0.00,0.16,0.16,0.00,0.16,Matches
69,Álvaro Barreal\Alvaro-Barreal,ar ARG,FWMF,FC Cincinnati,21-069,2000,30,25,2112,23.5,3,3,3,0,0,4,1,0.13,0.13,0.26,0.13,0.26,4.3,4.3,2.2,6.4,0.18,0.09,0.27,0.18,0.27,Matches
70,Michael Barrios\Michael-Barrios,co COL,FWMF,Colorado Rapids,30-187,1991,30,24,1961,21.8,8,4,8,0,0,3,0,0.37,0.18,0.55,0.37,0.55,6.1,6.1,5.1,11.2,0.28,0.24,0.52,0.28,0.52,Matches
71,Cole Bassett\Cole-Bassett,us USA,MFFW,Colorado Rapids,20-089,2001,29,22,2069,23.0,4,3,3,1,1,2,0,0.17,0.13,0.30,0.13,0.26,7.9,7.1,2.3,9.4,0.34,0.10,0.44,0.31,0.41,Matches
72,Zorhan Bassong\Zorhan-Bassong,ca CAN,DF,CF Montréal,22-171,1999,25,13,1242,13.8,0,1,0,0,0,3,1,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.8,1.1,0.02,0.06,0.08,0.02,0.08,Matches
73,Clement Bayiha\Clement-Bayiha,ca CAN,DF,CF Montréal,22-231,1999,10,2,287,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.04,0.04,0.00,0.04,Matches
74,Tanner Beason\Tanner-Beason,us USA,DF,San Jose,24-216,1997,21,20,1736,19.3,0,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,1.1,1.1,0.2,1.2,0.06,0.01,0.06,0.06,0.06,Matches
75,Alejandro Bedoya\Alejandro-Bedoya,us USA,MF,Philadelphia,34-179,1987,29,27,2388,26.5,2,0,2,0,0,4,0,0.08,0.00,0.08,0.08,0.08,3.8,3.8,2.2,6.0,0.14,0.08,0.23,0.14,0.23,Matches
76,Steven Beitashour\Steven-Beitashour,ir IRN,DF,Colorado Rapids,34-266,1987,8,3,331,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.05,0.05,0.00,0.05,Matches
77,Jon Bell\Jon-Bell,us USA,DF,New England,24-060,1997,11,9,773,8.6,1,2,1,0,0,1,0,0.12,0.23,0.35,0.12,0.35,0.4,0.4,0.6,1.0,0.04,0.07,0.12,0.04,0.12,Matches
78,George Bello\George-Bello,us USA,DF,Atlanta Utd,19-276,2002,25,22,2075,23.1,1,3,1,0,0,3,0,0.04,0.13,0.17,0.04,0.17,3.0,3.0,1.9,4.9,0.13,0.08,0.21,0.13,0.21,Matches
79,Joe Bendik\Joe-Bendik,us USA,GK,Philadelphia,32-183,1989,3,2,212,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
